gender,race/ethnicity,parental level of education,lunch,test preparation course,m1 score,m2 score,physics score,m3 score,m4 score,DS score,CO score,LD score,SOM score,ED score,OS-1 score,OS-2 score,MICRO-1score,MICRO-2 score,Chemistry score,EC score,Electrical SCi score,C++ score,Java score,OR Score,IM score
male,group D,bachelor's degree,free/reduced,none,63,66,67,42,78,56,66,99,61,64,47,96,51,94,75,47,52,64,69,99,67
female,group D,some high school,standard,completed,64,60,74,53,93,50,59,39,79,56,58,86,67,85,42,95,74,78,96,47,75
male,group B,some college,standard,none,54,52,51,88,37,64,85,80,67,59,71,48,89,35,53,50,41,92,81,98,68
male,group C,associate's degree,standard,none,84,80,80,71,52,74,91,80,77,51,63,42,92,93,59,71,93,94,61,65,60
male,group D,high school,free/reduced,completed,73,68,66,56,42,48,100,62,95,90,74,36,64,83,38,45,64,68,50,61,87
female,group E,bachelor's degree,standard,none,80,83,83,90,88,51,45,76,45,68,45,67,98,100,81,79,76,84,81,72,52
female,group D,high school,standard,none,56,52,55,53,81,50,94,87,69,60,76,97,49,44,86,89,73,35,59,46,55
male,group E,some college,standard,none,59,51,43,52,42,47,57,96,99,74,63,42,53,51,89,74,68,57,58,67,96
male,group D,some high school,standard,none,75,74,69,96,99,77,46,57,85,76,100,60,70,94,86,88,88,59,51,68,92
male,group C,associate's degree,standard,none,85,76,71,75,48,63,44,89,52,69,67,61,94,82,57,41,58,81,43,85,49
male,group E,associate's degree,standard,none,89,76,74,95,82,45,99,100,71,60,38,91,90,40,72,36,86,63,36,38,60
female,group B,high school,standard,completed,58,70,68,39,97,91,97,65,48,94,37,99,70,75,54,92,53,67,73,68,48
female,group B,high school,standard,none,65,64,62,64,99,99,59,86,73,93,70,84,73,96,40,92,95,100,72,75,77
male,group C,high school,standard,none,68,60,53,50,66,79,58,54,71,90,59,78,39,55,36,76,43,92,80,71,99
male,group A,some high school,standard,completed,47,49,49,36,38,52,48,86,36,43,90,52,48,63,36,98,68,36,45,61,98
female,group D,some college,free/reduced,none,71,83,83,48,70,39,78,49,45,52,63,82,39,77,69,55,54,52,52,91,79
female,group B,some high school,standard,completed,60,70,70,46,96,69,47,36,40,95,87,85,63,35,55,69,59,37,49,71,93
male,group D,master's degree,standard,none,80,80,72,53,84,65,93,53,51,65,93,37,59,43,82,71,82,41,68,63,64
male,group D,high school,standard,none,54,52,52,37,88,39,49,90,37,79,39,54,77,82,80,51,69,76,89,38,42
female,group E,some college,standard,none,62,73,70,79,51,78,73,72,63,98,95,45,86,54,79,67,70,51,49,44,100
female,group C,associate's degree,free/reduced,none,64,73,68,64,76,61,69,83,39,56,68,69,60,81,60,54,94,84,69,88,37
male,group C,associate's degree,standard,completed,78,77,77,69,94,39,63,38,41,76,89,63,65,85,49,90,91,98,71,52,78
female,group B,some college,standard,none,70,75,78,97,47,35,96,86,62,72,42,88,82,89,58,72,72,50,61,97,95
female,group C,master's degree,free/reduced,completed,65,81,81,48,41,38,83,48,36,59,67,62,74,89,72,48,77,71,46,46,68
female,group C,some high school,free/reduced,completed,64,79,77,70,86,39,44,46,66,94,93,84,42,38,51,35,76,66,44,84,84
male,group C,some college,standard,completed,79,79,78,45,83,45,69,95,56,88,80,56,56,64,51,85,91,83,43,50,46
female,group C,some high school,free/reduced,none,44,50,51,83,82,37,70,79,35,86,39,62,100,42,60,68,51,77,37,65,80
female,group E,high school,standard,none,99,93,90,92,95,62,44,71,38,88,71,100,84,47,47,97,86,76,93,43,72
male,group D,high school,standard,none,76,73,68,82,46,60,77,46,74,67,100,62,52,88,86,40,95,37,84,76,77
male,group D,some high school,free/reduced,none,59,42,41,62,76,57,42,45,56,65,75,91,35,43,98,87,99,50,67,36,42
female,group C,bachelor's degree,standard,none,63,75,81,69,52,42,69,81,70,75,95,78,48,63,81,93,92,49,75,83,48
female,group D,high school,standard,none,69,72,77,88,85,85,99,71,46,47,54,74,74,69,60,49,57,73,70,96,78
female,group D,associate's degree,standard,completed,88,92,95,97,74,44,63,58,85,85,61,51,50,58,89,65,85,43,97,58,43
female,group E,some college,free/reduced,none,71,76,70,99,100,48,81,67,64,52,84,59,71,44,52,85,39,61,51,40,72
male,group C,bachelor's degree,standard,none,69,63,61,91,43,97,78,94,93,96,41,82,54,70,75,98,84,40,91,43,87
male,group C,some college,standard,none,58,49,42,70,57,39,38,67,49,92,72,44,74,84,51,77,52,64,77,92,53
female,group D,associate's degree,free/reduced,none,47,53,58,90,96,72,58,79,89,78,73,74,46,85,64,84,75,86,86,55,80
female,group D,some college,standard,none,65,70,71,43,50,75,99,50,82,93,52,63,94,72,49,73,99,89,35,72,88
male,group B,some college,standard,completed,88,85,76,37,49,56,61,77,63,99,70,50,62,70,37,50,78,80,52,38,87
male,group C,bachelor's degree,standard,none,83,78,73,47,45,44,37,92,47,57,53,68,78,78,95,52,67,81,79,39,99
female,group C,some high school,standard,completed,85,92,93,35,72,50,41,35,91,85,68,52,60,86,62,71,89,73,91,80,88
female,group E,high school,standard,completed,59,63,75,81,63,78,99,39,92,71,84,71,37,86,71,83,89,82,51,46,76
female,group C,some high school,free/reduced,none,65,86,80,79,49,87,56,75,94,39,43,55,52,48,45,44,40,84,97,52,80
male,group B,bachelor's degree,free/reduced,none,73,56,57,68,73,95,38,88,81,90,60,55,47,83,68,72,81,64,42,55,53
male,group D,high school,standard,none,53,52,42,41,45,47,53,79,87,39,45,66,66,98,86,47,80,97,42,52,58
male,group D,high school,standard,none,45,48,46,35,77,63,46,42,81,91,89,62,88,76,51,66,88,52,82,100,76
female,group D,bachelor's degree,free/reduced,none,73,79,84,86,40,77,64,48,96,86,78,67,45,81,62,66,98,100,58,87,93
female,group D,some college,free/reduced,completed,70,78,78,46,45,41,69,61,66,67,73,61,66,79,73,36,63,66,59,62,36
female,group B,some high school,standard,none,37,46,46,83,48,70,48,42,61,94,70,50,91,44,72,91,52,91,69,49,46
male,group B,associate's degree,standard,completed,81,82,82,70,70,50,75,92,68,69,56,48,56,56,61,72,61,38,67,61,58
male,group E,associate's degree,standard,completed,97,82,88,43,54,50,59,81,38,51,43,65,91,80,51,61,72,41,82,59,36
female,group B,some high school,standard,none,67,89,82,53,80,68,67,94,66,41,75,39,44,74,60,53,44,43,35,38,75
male,group B,bachelor's degree,free/reduced,none,88,75,76,72,38,68,60,95,55,76,93,59,80,83,70,51,67,86,66,88,49
male,group E,some high school,standard,completed,77,76,77,40,100,54,66,94,63,62,40,48,70,94,100,81,36,47,71,35,74
male,group C,associate's degree,standard,none,76,70,68,78,91,54,86,75,38,100,54,91,88,89,55,71,40,86,70,39,48
male,group D,some high school,standard,none,86,73,70,69,39,73,89,91,83,60,49,44,96,38,71,50,86,56,45,82,47
male,group C,some high school,standard,completed,63,60,57,97,53,91,63,93,47,85,52,56,51,94,50,57,77,83,72,90,71
female,group E,bachelor's degree,standard,none,65,73,75,54,75,92,73,76,94,70,68,98,82,98,54,46,70,51,91,83,43
male,group D,high school,free/reduced,completed,78,77,80,36,95,91,98,37,91,44,87,43,64,73,80,65,91,39,60,59,80
male,group B,associate's degree,free/reduced,none,67,62,60,95,87,90,92,57,45,66,39,55,35,67,53,77,44,71,44,62,70
male,group A,some high school,standard,completed,46,41,43,97,75,48,95,47,62,77,98,66,46,66,72,57,85,70,96,47,90
male,group E,associate's degree,standard,completed,71,74,68,54,62,64,68,71,54,39,55,70,90,41,36,55,43,42,82,57,98
male,group C,high school,free/reduced,completed,40,46,50,96,53,74,86,98,51,41,48,74,97,59,79,56,59,38,41,41,81
male,group D,associate's degree,free/reduced,none,90,87,75,81,82,49,73,39,72,82,100,76,65,94,96,100,87,64,66,94,63
male,group A,some college,free/reduced,completed,81,78,81,88,87,74,58,69,79,64,38,47,61,37,42,68,84,95,62,95,57
male,group D,some high school,free/reduced,none,56,54,52,64,47,47,64,76,79,88,100,91,95,96,60,90,72,70,60,85,79
female,group C,associate's degree,standard,completed,67,84,81,63,66,36,88,94,58,35,97,44,45,79,35,87,75,75,99,74,70
male,group B,associate's degree,standard,none,80,76,64,95,63,75,50,38,97,54,81,87,97,68,86,88,69,57,94,98,78
female,group C,associate's degree,standard,completed,74,75,83,97,97,55,48,74,52,58,54,68,62,78,76,40,53,97,54,78,63
male,group A,some college,standard,none,69,67,69,75,44,37,43,82,49,51,47,93,39,90,84,48,81,79,40,74,55
male,group E,some college,standard,completed,99,87,81,71,39,80,59,44,60,67,76,98,92,79,61,65,100,48,60,59,51
male,group C,some high school,standard,none,51,52,44,94,49,45,42,92,83,53,71,79,49,100,48,74,75,38,52,88,95
female,group B,associate's degree,free/reduced,none,53,71,67,43,73,84,90,35,55,66,45,72,52,46,53,70,79,37,58,62,46
female,group D,high school,free/reduced,none,49,57,52,65,35,48,51,56,77,56,84,51,74,99,70,51,82,46,69,100,53
female,group B,associate's degree,standard,none,73,76,80,99,54,63,71,73,48,77,72,68,68,59,50,39,60,61,51,40,51
male,group B,bachelor's degree,standard,none,66,60,57,63,85,89,95,37,60,88,37,60,65,71,70,37,53,65,46,80,57
male,group D,bachelor's degree,standard,completed,67,61,68,73,49,43,82,85,97,57,78,68,68,37,36,43,68,47,52,92,76
female,group C,associate's degree,free/reduced,completed,68,67,69,77,71,76,49,41,88,76,54,81,82,94,64,48,87,76,58,45,94
female,group C,bachelor's degree,standard,completed,59,64,75,67,48,50,83,37,89,44,67,73,45,71,61,80,90,82,41,54,93
male,group C,high school,standard,none,71,66,65,74,81,78,75,83,79,96,53,78,63,78,73,55,37,95,80,48,57
female,group D,master's degree,standard,completed,77,82,91,91,35,96,41,42,42,51,39,62,100,39,86,35,59,73,92,87,74
male,group C,associate's degree,standard,none,83,72,78,93,51,95,55,81,51,70,68,63,53,94,60,74,85,43,58,57,73
male,group B,bachelor's degree,standard,none,63,71,69,66,40,45,94,51,87,97,69,39,49,78,78,58,91,60,75,83,92
female,group D,associate's degree,free/reduced,none,56,65,63,56,35,63,47,40,73,91,68,61,79,66,48,72,44,65,86,92,96
female,group C,high school,free/reduced,completed,67,79,84,98,48,79,53,84,90,93,39,59,42,77,56,94,48,77,90,57,54
female,group E,high school,standard,none,75,86,79,56,78,89,64,37,50,68,76,93,92,39,61,66,46,70,80,68,37
female,group C,some college,standard,none,71,81,80,81,75,85,38,54,36,37,100,85,43,86,47,36,66,76,37,92,93
female,group C,some high school,free/reduced,none,43,53,53,56,72,88,58,79,70,99,56,79,81,48,83,83,36,57,43,54,40
female,group C,high school,free/reduced,none,41,46,43,44,48,51,99,47,91,38,87,98,99,46,70,80,49,87,63,41,35
female,group C,some college,standard,none,82,90,94,80,64,43,44,38,89,74,73,100,52,72,83,61,93,77,74,71,75
male,group C,some college,standard,none,61,61,62,52,41,68,47,88,69,51,92,65,49,46,39,72,65,78,82,86,86
male,group A,some college,free/reduced,none,28,23,19,83,76,51,48,97,59,94,59,70,72,92,35,67,61,60,61,68,47
male,group C,associate's degree,standard,completed,82,75,77,96,64,38,68,35,96,43,69,70,76,98,80,73,38,42,78,55,76
female,group B,some high school,standard,none,41,55,51,38,69,71,67,73,94,95,94,92,81,75,85,83,89,50,38,75,94
male,group C,high school,standard,none,71,60,61,43,91,54,93,62,56,89,77,40,56,98,99,66,59,83,83,37,64
male,group C,associate's degree,standard,none,47,37,35,100,88,100,66,91,66,44,64,62,63,51,53,38,87,48,54,68,44
male,group E,associate's degree,standard,completed,62,56,53,87,66,64,86,58,71,85,54,49,49,79,60,91,99,45,49,79,100
male,group B,associate's degree,standard,none,90,78,81,59,62,46,41,80,37,68,67,38,93,43,41,60,97,91,73,80,59
female,group C,bachelor's degree,standard,none,83,93,95,99,62,53,70,51,49,66,100,70,98,38,42,63,58,89,53,95,40
female,group B,some college,free/reduced,none,61,68,66,59,94,40,83,73,85,58,68,99,93,38,57,84,51,44,91,57,73
male,group D,some high school,standard,completed,76,70,69,49,97,65,49,89,69,41,87,61,91,36,62,97,40,90,64,65,100
male,group C,associate's degree,standard,none,49,51,43,91,98,54,55,92,92,97,80,51,71,47,84,98,45,83,98,90,44
female,group B,some high school,free/reduced,none,24,38,27,48,52,57,63,61,55,51,77,83,95,55,57,76,92,75,65,98,53
female,group D,some high school,free/reduced,completed,35,55,60,61,90,64,93,71,71,47,94,76,47,65,77,98,83,79,88,85,96
male,group C,high school,free/reduced,none,58,61,52,49,55,86,57,65,81,49,92,57,65,70,50,87,88,44,75,42,35
female,group C,high school,standard,none,61,73,63,51,100,94,54,95,50,80,40,35,81,77,70,35,93,44,90,67,80
female,group B,high school,standard,completed,69,76,74,39,43,96,68,89,66,36,47,87,92,82,43,92,78,100,65,36,67
male,group D,associate's degree,standard,completed,67,72,67,49,47,100,63,90,64,54,83,46,95,82,39,87,60,69,39,81,90
male,group D,some college,standard,none,79,73,67,68,73,42,53,94,39,86,91,93,90,67,45,68,60,97,55,49,56
female,group C,high school,standard,none,72,80,75,37,57,100,85,36,49,85,62,89,57,66,64,92,77,47,42,86,97
male,group B,some college,standard,none,62,61,57,74,45,53,64,82,46,91,86,56,48,83,65,79,82,55,53,38,75
female,group C,bachelor's degree,standard,completed,77,94,95,56,61,78,89,85,90,98,55,52,47,54,92,60,80,86,75,98,79
male,group D,high school,free/reduced,none,75,74,66,84,60,40,85,59,79,39,72,73,88,39,59,83,85,66,64,95,62
male,group E,associate's degree,standard,none,87,74,76,77,90,69,49,35,100,71,51,58,37,94,74,42,73,83,93,94,83
female,group B,bachelor's degree,standard,none,52,65,69,78,70,41,57,90,55,54,39,69,42,62,41,92,48,43,71,65,85
male,group E,some college,standard,none,66,57,52,54,68,84,80,50,76,55,41,75,97,91,90,85,48,80,50,82,57
female,group C,some college,standard,completed,63,78,80,96,98,75,54,68,55,86,55,82,50,86,55,65,65,86,60,93,46
female,group C,associate's degree,standard,none,46,58,57,91,74,91,56,45,96,82,51,45,71,49,92,92,41,45,55,82,40
female,group C,some college,standard,none,59,71,70,54,54,49,44,93,91,61,72,55,91,91,83,63,51,92,54,88,59
female,group B,bachelor's degree,standard,none,61,72,70,87,99,92,63,44,46,44,68,42,81,43,77,94,53,90,37,39,86
male,group A,associate's degree,standard,none,63,61,61,63,53,85,53,38,90,64,84,37,39,63,39,95,43,75,38,58,83
female,group C,some college,free/reduced,completed,42,66,69,45,35,80,70,66,65,62,53,94,73,87,78,50,87,93,64,65,69
male,group D,some college,free/reduced,none,59,62,61,48,51,97,76,48,83,47,69,89,64,93,100,79,61,35,45,89,64
female,group D,some college,standard,none,80,90,89,67,98,71,40,39,86,97,73,58,81,52,35,42,49,58,83,58,75
female,group B,high school,standard,none,58,62,59,70,37,68,87,80,69,46,48,97,92,49,97,99,87,70,47,50,48
male,group B,some high school,standard,completed,85,84,78,79,56,99,47,42,88,57,83,87,55,100,88,89,60,98,50,97,53
female,group C,some college,standard,none,52,58,58,99,73,97,77,51,40,72,100,95,63,61,46,88,36,68,35,67,69
female,group D,some high school,free/reduced,none,27,34,32,96,48,47,98,77,37,67,52,51,79,60,47,35,67,79,85,55,92
male,group C,some college,standard,none,59,60,58,54,53,89,87,100,97,42,71,96,68,86,40,48,58,88,41,93,69
male,group A,bachelor's degree,free/reduced,completed,49,58,60,89,70,67,79,53,41,66,87,42,48,76,54,100,74,57,94,88,57
male,group C,high school,standard,completed,69,58,53,68,60,99,81,71,76,44,66,64,65,70,55,78,85,79,78,63,56
male,group C,bachelor's degree,free/reduced,none,61,66,61,68,54,88,72,86,91,43,93,75,53,57,82,83,42,64,53,99,94
female,group A,some high school,free/reduced,none,44,64,58,48,45,43,52,96,45,98,46,37,88,44,38,54,50,94,53,45,68
female,group D,some high school,standard,none,73,84,85,44,44,86,59,48,37,56,61,80,53,59,85,51,86,54,76,79,69
male,group E,some college,standard,none,84,77,71,84,39,83,64,64,48,61,68,85,74,67,38,40,52,80,100,81,80
female,group C,some college,free/reduced,completed,45,73,70,99,94,40,39,63,43,76,44,98,45,35,75,37,54,73,46,42,83
male,group D,some high school,standard,none,74,74,72,35,80,88,69,64,50,57,65,88,66,50,78,86,97,53,45,100,55
female,group D,some college,standard,completed,82,97,96,66,87,84,73,59,97,43,51,92,91,48,40,44,97,63,52,41,42
female,group D,bachelor's degree,standard,none,59,70,73,68,74,83,55,52,62,41,40,59,92,97,40,51,60,55,50,45,36
male,group E,associate's degree,free/reduced,none,46,43,41,45,62,55,95,72,53,51,72,36,45,66,67,79,95,58,84,76,80
female,group D,some high school,standard,none,80,90,82,63,93,76,73,43,66,80,86,50,72,35,59,42,66,98,80,70,56
female,group D,master's degree,free/reduced,completed,85,95,100,93,42,47,57,82,75,56,40,64,70,91,83,56,78,99,52,98,84
female,group A,some high school,standard,none,71,83,77,43,98,100,66,45,98,98,73,90,66,50,62,89,80,86,66,71,42
male,group A,bachelor's degree,standard,none,66,64,62,94,38,63,82,73,39,67,48,64,37,36,100,95,71,52,89,99,88
female,group B,associate's degree,standard,none,80,86,83,98,55,99,62,35,83,56,92,47,53,68,55,64,89,37,52,67,39
male,group C,associate's degree,standard,completed,87,100,95,88,100,100,51,42,70,52,43,52,84,87,59,85,75,65,55,68,70
male,group C,master's degree,free/reduced,none,79,81,71,59,49,83,40,90,46,100,90,55,51,86,88,87,45,82,48,45,66
female,group E,some high school,free/reduced,none,38,49,45,61,43,55,49,50,70,54,51,99,86,85,98,49,95,83,53,86,58
female,group A,some high school,free/reduced,none,38,43,43,80,48,63,64,93,81,74,48,81,94,68,58,91,59,36,80,53,67
female,group E,some college,standard,none,67,76,75,47,62,85,66,63,64,95,52,88,53,43,45,56,37,100,52,42,71
female,group E,bachelor's degree,standard,none,64,73,70,65,42,81,39,61,93,91,64,58,93,55,85,73,44,77,57,94,66
female,group C,associate's degree,free/reduced,none,57,78,67,48,62,85,48,100,91,49,83,96,66,60,88,71,36,59,56,41,88
female,group D,high school,standard,none,62,64,64,98,69,41,77,94,51,57,85,40,37,65,45,90,73,92,91,46,95
male,group D,master's degree,standard,none,73,70,75,89,53,35,63,42,49,37,72,92,71,83,71,38,56,75,53,77,59
male,group E,some high school,free/reduced,completed,73,67,59,66,46,65,54,62,69,58,46,98,78,37,45,59,40,50,90,85,67
female,group D,some college,standard,none,77,68,77,96,73,44,71,54,70,65,52,79,39,51,51,77,76,95,37,97,87
male,group E,some college,standard,none,76,67,67,69,74,74,41,35,35,37,47,75,80,89,92,45,61,92,54,76,59
male,group C,associate's degree,standard,completed,57,54,56,43,37,67,45,89,61,48,37,94,71,44,76,97,56,69,56,37,45
female,group C,some high school,standard,completed,65,74,77,65,69,36,78,39,97,93,71,86,78,87,73,42,75,87,39,50,62
male,group A,high school,free/reduced,none,48,45,41,50,38,55,83,37,54,87,94,80,84,91,56,50,68,45,41,46,88
female,group B,high school,free/reduced,none,50,67,63,36,63,81,85,84,81,60,53,42,82,46,39,64,55,95,35,41,53
female,group C,associate's degree,standard,none,85,89,95,93,39,97,40,94,40,67,88,39,92,47,54,49,57,48,73,43,58
male,group B,some high school,standard,none,74,63,57,78,45,77,65,70,94,52,84,37,95,83,67,63,35,49,63,53,37
male,group D,some high school,standard,none,60,59,54,71,39,77,73,57,61,97,50,46,73,65,57,53,72,87,54,81,37
female,group C,some high school,standard,completed,59,54,67,56,64,98,36,68,47,59,54,46,67,73,100,52,93,85,39,70,67
male,group A,some college,standard,none,53,43,43,90,92,72,85,60,96,83,44,80,84,68,84,99,90,68,46,49,58
female,group A,some college,free/reduced,none,49,65,55,54,50,62,54,53,72,68,42,88,86,37,47,69,37,69,36,68,93
female,group D,high school,standard,completed,88,99,100,86,66,37,39,69,57,95,66,61,87,55,48,61,47,72,90,82,56
female,group C,high school,standard,none,54,59,62,36,77,97,38,35,37,77,71,59,50,37,51,63,58,56,99,38,52
female,group C,some high school,standard,none,63,73,68,44,99,93,36,37,64,84,98,90,86,51,50,43,41,72,56,93,52
male,group B,associate's degree,standard,completed,65,65,63,51,68,59,38,96,82,59,62,54,77,94,36,76,81,94,41,43,94
female,group B,associate's degree,standard,none,82,80,77,94,79,47,64,81,50,49,45,49,77,82,44,53,35,64,43,66,40
female,group D,high school,free/reduced,completed,52,57,56,93,49,95,42,85,40,45,61,85,38,45,67,80,64,35,81,62,81
male,group D,associate's degree,standard,completed,87,84,85,43,77,88,43,74,85,96,80,50,46,79,86,91,81,96,36,76,95
female,group D,master's degree,standard,completed,70,71,74,87,52,94,92,81,92,74,59,74,77,82,55,89,71,71,86,73,98
male,group E,some college,standard,completed,84,83,78,44,90,77,94,61,55,97,62,64,36,36,36,72,45,70,79,71,35
male,group D,associate's degree,standard,none,71,66,60,62,41,85,68,89,64,54,52,92,79,54,83,52,72,82,96,80,74
male,group B,some high school,standard,completed,63,67,67,77,36,49,58,38,84,35,82,72,81,61,77,93,59,44,80,91,83
female,group C,bachelor's degree,free/reduced,completed,51,72,79,64,47,84,49,85,85,65,98,38,100,37,100,50,58,100,69,85,92
male,group E,high school,standard,none,84,73,69,45,42,66,77,51,47,65,67,40,35,58,72,81,72,40,58,92,67
male,group C,bachelor's degree,standard,completed,71,74,68,64,41,35,73,40,79,88,70,75,69,82,64,82,43,47,95,87,100
male,group C,associate's degree,standard,none,74,73,67,50,57,39,96,98,36,95,89,47,54,71,68,73,66,90,53,40,91
male,group D,some college,standard,none,68,59,62,45,99,40,54,86,71,91,97,91,46,98,97,69,67,75,79,84,80
male,group E,high school,free/reduced,completed,57,56,54,66,74,64,46,76,37,89,69,68,36,52,46,77,35,83,36,95,59
female,group C,associate's degree,free/reduced,completed,82,93,93,81,70,88,36,78,55,57,73,94,69,80,54,51,66,68,39,100,72
female,group D,high school,standard,completed,57,58,64,82,54,51,38,84,48,42,51,59,44,49,77,52,68,48,40,50,41
female,group D,master's degree,free/reduced,completed,47,58,67,76,83,50,74,87,67,99,47,98,43,91,63,93,51,64,75,92,53
female,group A,some high school,standard,completed,59,85,80,38,54,97,36,77,75,62,82,41,74,99,54,55,90,89,56,83,56
male,group B,some college,free/reduced,none,41,39,34,79,66,60,65,69,97,68,98,100,88,65,72,49,89,35,38,70,89
female,group C,some college,free/reduced,none,62,67,62,100,68,52,82,85,70,90,46,36,51,81,86,76,36,37,38,81,40
male,group C,bachelor's degree,standard,none,86,83,86,81,65,42,47,99,83,72,96,47,35,83,41,66,88,79,59,91,62
male,group C,some high school,free/reduced,none,69,71,65,78,50,52,42,98,35,44,96,38,63,98,68,58,81,67,53,86,100
male,group A,some high school,free/reduced,none,65,59,53,39,39,71,44,48,57,76,86,87,48,69,53,80,36,43,98,47,83
male,group C,some high school,free/reduced,none,68,63,54,43,100,84,58,64,80,97,42,57,93,67,48,39,42,94,54,47,36
male,group C,associate's degree,free/reduced,none,64,66,59,82,46,65,38,98,86,37,40,43,58,69,87,98,98,43,46,64,47
female,group C,high school,standard,none,61,72,70,82,63,98,90,69,61,67,84,52,83,78,73,72,81,88,84,81,87
male,group C,high school,standard,none,61,56,55,39,76,85,95,44,65,78,70,83,57,78,80,50,55,86,41,92,47
female,group A,some high school,free/reduced,none,47,59,50,37,95,63,80,91,67,68,49,74,92,45,57,38,48,58,47,92,98
male,group C,some high school,standard,none,73,66,66,58,57,62,81,90,71,38,42,53,71,43,76,95,55,37,95,62,36
male,group C,some college,free/reduced,completed,50,48,53,57,73,49,52,88,46,51,88,57,77,89,63,36,68,49,38,76,87
male,group D,associate's degree,standard,none,75,68,64,82,54,55,42,48,62,94,52,78,60,81,87,43,43,46,51,41,72
male,group D,associate's degree,free/reduced,none,75,66,73,63,98,82,49,70,69,55,63,66,45,71,93,49,93,88,54,45,47
male,group C,high school,standard,none,70,56,51,77,90,100,78,98,55,65,51,64,44,40,59,41,89,73,50,46,94
male,group D,some high school,standard,completed,89,88,82,40,73,73,40,61,59,54,100,73,64,96,77,72,92,38,57,70,52
female,group C,some college,standard,completed,67,81,79,61,65,62,97,57,77,71,64,48,44,96,88,97,78,65,61,95,39
female,group D,high school,standard,none,78,81,80,70,52,63,42,48,55,81,59,56,96,86,56,73,97,91,96,43,62
female,group A,some high school,free/reduced,none,59,73,69,95,72,71,85,47,79,63,89,64,44,38,40,82,46,35,70,54,77
female,group B,associate's degree,standard,none,73,83,76,73,38,64,51,36,36,58,81,40,89,52,89,73,45,91,57,74,88
male,group A,some high school,free/reduced,none,79,82,73,60,71,56,63,64,82,44,52,69,85,65,92,39,94,56,67,39,87
female,group C,some high school,standard,completed,67,74,77,46,70,36,82,36,59,87,95,60,41,35,52,36,96,92,41,67,83
male,group D,some college,free/reduced,none,69,66,60,94,56,55,58,48,68,59,54,66,75,71,67,64,83,77,73,73,39
male,group C,high school,standard,completed,86,81,80,95,86,46,71,53,43,50,52,61,53,96,49,99,100,82,83,97,36
male,group B,high school,standard,none,47,46,42,64,63,79,41,89,87,69,37,95,60,56,62,64,48,70,75,48,83
male,group B,associate's degree,standard,none,81,73,72,92,42,72,78,59,99,77,46,83,40,42,100,43,95,65,42,74,81
female,group C,some college,free/reduced,completed,64,85,85,48,82,69,66,36,75,38,100,96,35,84,76,80,67,72,98,72,65
female,group E,some college,standard,none,100,92,97,77,70,87,62,84,48,95,49,75,79,92,49,87,41,36,47,100,43
female,group C,associate's degree,free/reduced,none,65,77,74,71,87,83,84,87,70,88,93,66,72,90,35,95,80,51,68,35,92
male,group C,some college,free/reduced,none,65,58,49,52,90,52,66,51,42,38,50,80,46,83,41,95,40,92,51,89,85
female,group C,associate's degree,free/reduced,none,53,61,62,40,46,85,41,85,49,80,81,55,39,37,66,48,55,54,98,74,38
male,group C,bachelor's degree,free/reduced,none,37,56,47,66,85,67,68,38,77,87,48,65,46,57,76,95,99,44,98,47,54
female,group D,bachelor's degree,standard,none,79,89,89,86,60,60,66,73,93,64,46,47,38,70,64,86,94,47,74,70,63
male,group D,associate's degree,free/reduced,none,53,54,48,92,97,100,45,90,58,46,95,84,94,99,49,38,75,68,40,63,93
female,group E,bachelor's degree,standard,none,100,100,100,36,49,68,92,72,98,53,89,72,61,87,99,59,100,66,73,89,88
male,group B,high school,standard,completed,72,65,68,65,47,63,59,52,57,84,57,35,66,91,98,86,35,41,55,42,45
male,group C,bachelor's degree,free/reduced,none,53,58,55,96,69,85,49,52,51,68,96,49,70,89,76,58,81,55,83,55,91
male,group B,some college,free/reduced,none,54,54,45,42,69,76,96,86,93,97,52,57,40,46,48,68,85,48,61,80,71
female,group E,some college,standard,none,71,70,76,77,87,99,76,85,81,48,64,43,91,75,65,76,65,54,63,88,44
female,group C,some college,free/reduced,none,77,90,91,91,40,84,94,80,59,86,80,40,86,55,36,38,100,45,59,39,40
male,group A,bachelor's degree,standard,completed,75,58,62,96,84,99,85,64,91,77,78,79,51,36,57,91,50,67,61,92,88
female,group C,some college,standard,none,84,87,91,37,59,94,63,55,40,42,75,44,77,58,44,97,48,86,35,86,95
female,group D,associate's degree,free/reduced,none,26,31,38,91,39,97,98,43,58,98,80,51,66,90,57,77,78,68,43,72,60
male,group A,high school,free/reduced,completed,72,67,65,42,99,67,56,88,72,73,100,59,98,87,76,87,57,94,48,76,40
female,group A,high school,free/reduced,completed,77,88,85,63,53,75,45,43,48,65,100,70,77,69,97,87,65,52,43,88,77
male,group C,some college,standard,none,91,74,76,42,92,92,86,56,96,53,78,61,61,41,40,42,99,52,67,97,100
female,group C,associate's degree,standard,completed,83,85,90,66,44,96,72,76,76,76,48,79,63,49,87,67,46,98,54,44,87
female,group C,high school,standard,none,63,69,74,87,98,39,45,37,55,45,81,93,35,56,46,59,69,54,39,93,56
female,group C,associate's degree,standard,completed,68,86,84,70,72,61,72,82,38,40,45,35,68,52,88,77,67,89,50,72,90
female,group D,some high school,standard,none,59,67,61,50,69,72,68,82,73,58,59,92,41,49,75,44,78,64,39,82,58
female,group B,associate's degree,standard,completed,90,90,91,69,72,94,37,99,63,47,75,76,64,93,64,91,82,39,44,50,91
