gender,race/ethnicity,parental level of education,lunch,test preparation course,,m1 score,physics score,m2 score,m3 score,DS score,CO score,LD score,SOM score,ED score,OS-1 score,OS-2 score,MICRO-1score,MICRO-2 score,Chemistry score,EC score,Electrical SCi score,C++ score,Java score,OR Score,IM score,SUB1,SUB2,SUB3,SUB4,SUB5,SUB6,SUB7,SUB8,SUB9,SUB10,SUB11,SUB12,SUB13,SUB14,SUB15,SUB16,SUB17,SUB18,SUB19,SUB20,SUB21,SUB22,SUB23,SUB24,SUB25,SUB26,SUB27,SUB28,SUB29,SUB30,SUB31,Result2,Result
male,group B,some high school,standard,completed,84,83,75,40,48,81,94,57,36,100,47,59,47,41,76,46,56,56,81,90,61,97,78,97,63,93,96,98,71,57,56,42,48,48,60,54,39,69,81,76,91,93,62,66,67,81,36,52,79,77,88,78,6,5
female,group E,associate's degree,free/reduced,completed,83,86,88,94,46,91,81,62,56,62,59,82,59,62,82,48,41,44,79,65,53,77,82,53,99,64,79,96,95,97,60,53,76,49,36,55,44,63,78,84,41,38,68,82,92,88,59,57,72,81,37,73,6,6
female,group C,high school,free/reduced,none,34,42,39,79,39,63,71,61,68,63,46,36,58,78,57,98,47,35,47,91,89,87,91,81,79,44,96,75,58,47,49,41,45,46,43,63,57,74,42,92,79,73,76,41,100,93,56,93,42,75,65,83,6,7
male,group B,high school,free/reduced,none,66,77,70,55,62,45,51,79,87,72,67,60,46,70,60,52,41,40,71,46,64,35,77,85,38,38,46,66,92,71,97,99,54,37,67,97,43,64,39,97,88,57,66,74,84,51,96,97,62,40,36,97,6,8
male,group B,some high school,standard,completed,61,56,56,99,62,100,78,78,89,57,66,89,48,70,39,94,93,39,39,84,45,53,40,45,66,65,78,87,56,50,57,46,91,80,65,96,55,70,69,96,39,87,65,75,86,46,72,85,42,62,75,95,6,9
female,group D,high school,standard,completed,56,68,74,47,94,76,92,43,76,61,69,90,64,90,49,97,82,85,93,59,65,63,64,99,93,58,48,46,47,74,99,72,64,98,38,79,92,95,73,81,60,88,64,58,99,39,69,84,71,79,53,47,7,0
male,group B,associate's degree,standard,none,87,85,73,99,99,62,59,54,66,88,90,56,47,73,60,82,43,40,94,38,78,64,68,78,70,60,39,95,97,99,68,47,85,93,72,78,98,53,98,74,50,37,90,74,69,54,90,54,37,57,50,92,7,1
female,group C,some high school,free/reduced,none,55,65,62,79,51,57,44,57,92,59,95,47,54,59,45,55,59,82,73,83,69,56,58,96,95,65,100,71,61,91,38,42,45,54,36,83,94,95,76,50,53,35,83,77,83,85,42,47,54,78,47,91,6,2
male,group D,some high school,standard,none,86,80,75,54,40,35,64,46,98,44,100,67,68,83,46,45,90,89,81,74,44,75,36,44,40,77,42,89,86,90,95,66,57,100,49,39,86,79,44,100,67,52,37,35,43,87,37,59,66,88,66,35,6,3
female,group B,associate's degree,standard,completed,52,66,73,50,91,60,92,64,72,60,54,77,73,74,90,64,70,97,53,50,59,89,66,51,54,82,36,38,38,43,58,83,36,92,38,71,58,69,41,83,77,60,77,65,71,81,40,74,67,64,94,49,6,4
female,group E,master's degree,free/reduced,none,45,56,54,61,84,39,60,81,69,51,56,59,72,73,72,57,69,73,75,49,44,64,77,92,100,69,64,87,87,65,59,81,77,37,38,94,84,41,48,68,46,61,44,92,58,48,55,98,84,85,81,62,6,5
female,group C,some college,standard,none,72,72,71,49,91,90,99,75,38,81,61,93,48,40,95,88,69,61,39,70,80,49,92,36,82,52,98,100,94,58,64,62,92,65,63,71,51,39,79,50,91,60,37,52,42,42,90,40,47,86,64,37,6,6
male,group D,high school,standard,none,57,50,54,79,55,94,84,91,57,41,64,49,88,63,38,67,62,97,52,89,72,88,81,74,90,96,63,89,98,47,98,66,90,69,68,45,72,74,62,64,59,94,38,55,54,48,88,50,67,100,49,85,6,7
male,group A,some high school,free/reduced,none,68,72,64,60,37,46,83,70,93,94,97,99,60,79,55,83,65,50,35,82,54,87,40,54,60,39,49,66,100,94,86,36,70,97,46,58,46,88,73,62,75,60,49,61,97,53,84,36,37,38,76,84,6,8
female,group C,some college,standard,completed,88,95,94,51,66,87,71,47,94,74,37,91,37,45,75,58,59,91,94,43,79,36,48,83,60,57,76,62,69,60,46,96,70,85,100,55,58,39,35,95,39,48,71,44,35,54,50,81,83,80,43,63,6,9
male,group D,some college,standard,none,76,64,66,62,36,93,60,75,57,91,90,49,94,76,52,62,43,79,86,94,56,73,67,87,98,79,58,92,67,40,89,84,37,99,44,80,99,40,68,41,80,38,72,55,97,64,38,89,80,75,61,78,6,0
male,group C,associate's degree,standard,none,46,43,42,75,96,72,93,48,52,39,89,69,49,75,48,89,51,74,39,40,57,96,51,65,57,50,70,63,37,39,88,64,79,88,44,99,99,92,83,66,62,47,99,40,76,81,99,68,92,68,73,40,6,1
female,group B,bachelor's degree,standard,none,67,86,83,58,56,95,64,71,50,91,87,71,36,41,71,37,65,72,72,84,44,91,96,41,69,50,77,81,44,36,41,50,83,59,87,74,52,44,84,87,41,45,93,36,60,57,71,62,45,38,91,78,6,2
male,group E,some high school,standard,none,92,87,78,97,88,54,58,90,51,51,36,38,88,36,69,66,61,35,82,75,95,77,71,45,41,37,81,39,39,69,93,60,96,37,50,75,69,74,50,52,35,42,59,58,39,58,59,49,36,99,47,62,6,3
male,group C,bachelor's degree,standard,completed,83,82,84,42,60,45,61,93,82,90,84,49,43,58,68,95,69,78,71,87,40,61,55,52,93,90,64,60,95,55,58,62,87,93,75,45,94,63,89,37,38,90,55,37,66,61,55,63,60,68,78,73,6,4
male,group D,associate's degree,standard,none,80,75,77,97,98,93,64,89,55,70,55,82,54,100,64,54,35,53,95,86,42,75,61,84,70,54,78,95,50,87,69,57,58,41,93,40,67,79,74,62,60,63,93,79,59,97,78,62,73,49,90,42,7,5
male,group D,bachelor's degree,free/reduced,none,63,66,67,42,78,56,66,99,61,64,47,96,51,94,75,47,52,64,69,99,67,71,71,52,39,99,84,84,94,58,48,70,42,57,86,46,64,86,73,40,52,39,87,59,94,98,35,65,65,70,74,38,6,6
female,group D,some high school,standard,completed,64,60,74,53,93,50,59,39,79,56,58,86,67,85,42,95,74,78,96,47,75,67,56,89,51,74,81,100,38,70,72,82,37,38,100,41,62,74,48,59,51,99,54,97,42,68,61,74,99,35,40,62,6,7
male,group B,some college,standard,none,54,52,51,88,37,64,85,80,67,59,71,48,89,35,53,50,41,92,81,98,68,55,66,51,73,64,77,57,83,92,49,86,45,55,55,37,70,41,64,90,88,71,81,60,50,40,90,44,53,42,48,61,6,8
male,group C,associate's degree,standard,none,84,80,80,71,52,74,91,80,77,51,63,42,92,93,59,71,93,94,61,65,60,67,74,96,67,39,54,79,80,43,91,58,99,61,99,44,85,94,65,70,50,48,53,70,48,91,45,75,39,86,49,47,6,9
male,group D,high school,free/reduced,completed,73,68,66,56,42,48,100,62,95,90,74,36,64,83,38,45,64,68,50,61,87,60,50,96,69,35,54,40,62,35,92,99,97,54,50,52,54,72,66,75,43,70,38,59,40,44,47,91,37,89,88,56,6,0
female,group E,bachelor's degree,standard,none,80,83,83,90,88,51,45,76,45,68,45,67,98,100,81,79,76,84,81,72,52,93,49,37,55,91,51,87,63,69,98,52,68,67,80,74,77,86,94,53,72,71,92,35,85,37,73,43,38,98,80,83,7,1
female,group D,high school,standard,none,56,52,55,53,81,50,94,87,69,60,76,97,49,44,86,89,73,35,59,46,55,83,59,40,41,37,95,53,91,52,77,60,90,43,45,38,53,57,67,76,50,83,98,94,75,83,100,85,87,81,66,47,6,2
male,group E,some college,standard,none,59,51,43,52,42,47,57,96,99,74,63,42,53,51,89,74,68,57,58,67,96,46,98,81,58,93,73,72,95,92,44,86,68,100,55,72,70,65,88,62,41,55,72,39,53,94,60,57,50,85,79,97,6,3
male,group D,some high school,standard,none,75,74,69,96,99,77,46,57,85,76,100,60,70,94,86,88,88,59,51,68,92,47,79,41,93,70,59,100,39,54,41,99,99,35,44,48,72,44,85,57,47,63,37,37,60,69,66,54,74,39,59,40,6,4
male,group C,associate's degree,standard,none,85,76,71,75,48,63,44,89,52,69,67,61,94,82,57,41,58,81,43,85,49,59,76,59,39,81,66,73,66,76,73,75,47,43,72,76,81,81,35,61,64,90,72,93,75,52,41,51,49,47,93,37,6,5
male,group E,associate's degree,standard,none,89,76,74,95,82,45,99,100,71,60,38,91,90,40,72,36,86,63,36,38,60,60,84,63,86,36,89,91,57,61,85,100,61,93,47,39,51,62,97,74,37,50,85,48,76,59,98,60,36,96,75,69,6,6
female,group B,high school,standard,completed,58,70,68,39,97,91,97,65,48,94,37,99,70,75,54,92,53,67,73,68,48,42,92,68,84,40,81,42,65,96,78,94,70,91,86,78,35,54,53,63,43,70,54,69,42,39,46,78,89,58,87,47,6,7
female,group B,high school,standard,none,65,64,62,64,99,99,59,86,73,93,70,84,73,96,40,92,95,100,72,75,77,86,100,96,92,69,85,43,65,96,78,71,74,89,74,97,99,81,88,57,70,50,85,77,86,55,47,56,83,47,77,78,7,8
male,group C,high school,standard,none,68,60,53,50,66,79,58,54,71,90,59,78,39,55,36,76,43,92,80,71,99,53,90,76,97,59,54,47,82,67,74,98,58,72,41,84,42,66,83,44,48,51,78,84,86,95,53,85,77,70,60,44,6,9
male,group A,some high school,standard,completed,47,49,49,36,38,52,48,86,36,43,90,52,48,63,36,98,68,36,45,61,98,74,99,53,70,57,90,69,74,93,84,66,49,58,53,36,80,46,90,94,67,85,81,89,39,91,47,100,71,54,73,60,6,0
female,group D,some college,free/reduced,none,71,83,83,48,70,39,78,49,45,52,63,82,39,77,69,55,54,52,52,91,79,63,65,94,60,99,49,98,49,62,44,93,78,77,35,68,53,88,45,90,94,83,39,95,92,89,93,82,78,40,50,98,6,1
female,group B,some high school,standard,completed,60,70,70,46,96,69,47,36,40,95,87,85,63,35,55,69,59,37,49,71,93,71,91,65,61,74,87,76,80,86,44,59,81,37,98,57,84,43,71,51,59,63,65,73,60,96,90,70,100,73,54,70,6,2
male,group D,master's degree,standard,none,80,80,72,53,84,65,93,53,51,65,93,37,59,43,82,71,82,41,68,63,64,82,73,66,85,99,39,61,59,39,100,93,61,70,41,50,64,66,92,99,52,92,46,95,95,86,79,69,51,72,65,46,6,3
male,group D,high school,standard,none,54,52,52,37,88,39,49,90,37,79,39,54,77,82,80,51,69,76,89,38,42,47,81,91,84,79,85,98,52,49,97,47,87,73,97,48,67,72,74,49,64,57,70,40,57,61,94,91,74,81,91,76,6,4
female,group E,some college,standard,none,62,73,70,79,51,78,73,72,63,98,95,45,86,54,79,67,70,51,49,44,100,88,84,51,61,52,52,81,74,36,47,80,97,71,45,74,86,36,80,100,63,41,44,66,63,62,42,42,78,39,63,44,6,5
female,group C,associate's degree,free/reduced,none,64,73,68,64,76,61,69,83,39,56,68,69,60,81,60,54,94,84,69,88,37,86,92,89,60,37,66,71,61,84,55,91,38,85,75,92,56,37,61,99,94,61,35,97,77,93,37,96,56,93,37,78,6,6
male,group C,associate's degree,standard,completed,78,77,77,69,94,39,63,38,41,76,89,63,65,85,49,90,91,98,71,52,78,36,75,79,89,74,38,66,63,77,73,76,65,63,79,81,37,66,95,55,64,76,96,77,84,60,90,41,95,99,83,50,7,7
female,group B,some college,standard,none,70,75,78,97,47,35,96,86,62,72,42,88,82,89,58,72,72,50,61,97,95,59,70,89,74,41,94,53,72,36,80,84,37,61,96,37,59,76,46,61,38,50,85,90,64,44,45,89,52,78,78,92,6,8
female,group C,master's degree,free/reduced,completed,65,81,81,48,41,38,83,48,36,59,67,62,74,89,72,48,77,71,46,46,68,64,63,87,59,38,96,76,55,86,91,100,86,77,93,87,45,61,83,53,41,98,86,55,95,77,42,38,68,47,88,43,6,9
female,group C,some high school,free/reduced,completed,64,79,77,70,86,39,44,46,66,94,93,84,42,38,51,35,76,66,44,84,84,50,80,82,47,100,66,36,61,61,88,94,92,98,100,89,72,78,93,43,57,99,67,58,87,59,88,60,75,67,40,70,6,0
male,group C,some college,standard,completed,79,79,78,45,83,45,69,95,56,88,80,56,56,64,51,85,91,83,43,50,46,68,38,83,58,99,61,51,83,72,54,96,52,80,54,86,82,97,100,71,80,84,46,36,65,45,99,74,58,49,86,76,6,1
female,group C,some high school,free/reduced,none,44,50,51,83,82,37,70,79,35,86,39,62,100,42,60,68,51,77,37,65,80,96,47,66,46,75,98,82,43,65,90,90,90,69,47,98,36,68,93,96,37,79,50,75,97,51,75,65,85,83,94,93,6,2
female,group E,high school,standard,none,99,93,90,92,95,62,44,71,38,88,71,100,84,47,47,97,86,76,93,43,72,43,87,42,94,37,96,83,80,70,73,78,55,61,62,40,59,87,60,78,37,93,72,57,41,82,55,95,87,65,59,80,7,3
male,group D,high school,standard,none,76,73,68,82,46,60,77,46,74,67,100,62,52,88,86,40,95,37,84,76,77,86,61,78,91,54,59,62,98,47,77,38,85,76,71,47,65,68,59,70,99,52,36,63,50,35,35,67,87,90,60,58,6,4
male,group D,some high school,free/reduced,none,59,42,41,62,76,57,42,45,56,65,75,91,35,43,98,87,99,50,67,36,42,68,63,84,46,41,97,90,36,46,72,60,92,57,72,75,73,60,65,39,68,99,54,66,36,41,53,92,79,43,47,69,6,5
female,group C,bachelor's degree,standard,none,63,75,81,69,52,42,69,81,70,75,95,78,48,63,81,93,92,49,75,83,48,70,52,85,38,80,74,42,50,35,92,61,67,73,77,46,65,45,62,73,96,77,66,91,51,86,100,62,60,98,70,91,6,6
female,group D,high school,standard,none,69,72,77,88,85,85,99,71,46,47,54,74,74,69,60,49,57,73,70,96,78,89,90,88,38,72,83,65,82,41,49,82,100,88,90,35,80,73,96,62,100,92,36,63,75,69,84,46,69,70,87,98,7,7
female,group D,associate's degree,standard,completed,88,92,95,97,74,44,63,58,85,85,61,51,50,58,89,65,85,43,97,58,43,39,73,89,50,35,100,48,91,54,54,45,83,51,91,52,64,55,51,93,95,46,77,68,76,60,92,45,39,47,100,70,6,8
female,group E,some college,free/reduced,none,71,76,70,99,100,48,81,67,64,52,84,59,71,44,52,85,39,61,51,40,72,93,59,67,59,58,42,43,59,51,55,66,59,95,46,66,74,95,40,98,36,97,70,50,51,38,99,99,71,88,40,47,6,9
male,group C,bachelor's degree,standard,none,69,63,61,91,43,97,78,94,93,96,41,82,54,70,75,98,84,40,91,43,87,95,45,51,53,62,90,46,67,82,37,76,39,44,87,52,80,57,77,94,73,62,59,37,41,39,78,53,54,58,80,96,6,0
male,group C,some college,standard,none,58,49,42,70,57,39,38,67,49,92,72,44,74,84,51,77,52,64,77,92,53,45,94,64,76,45,44,92,49,66,98,44,73,84,58,49,44,40,89,99,69,75,49,81,60,41,63,59,69,95,60,74,6,1
female,group D,associate's degree,free/reduced,none,47,53,58,90,96,72,58,79,89,78,73,74,46,85,64,84,75,86,86,55,80,88,37,70,99,42,81,89,58,67,51,51,72,39,38,53,66,86,41,53,87,97,44,58,39,81,76,100,96,81,55,76,6,2
female,group D,some college,standard,none,65,70,71,43,50,75,99,50,82,93,52,63,94,72,49,73,99,89,35,72,88,46,49,55,40,75,88,59,52,49,92,83,77,63,48,57,79,61,92,98,62,97,62,52,38,47,35,63,88,100,100,60,6,3
male,group B,some college,standard,completed,88,85,76,37,49,56,61,77,63,99,70,50,62,70,37,50,78,80,52,38,87,52,35,78,97,42,41,69,73,48,75,99,72,81,38,61,66,68,40,42,61,90,68,48,95,93,59,63,76,54,70,76,6,4
male,group C,bachelor's degree,standard,none,83,78,73,47,45,44,37,92,47,57,53,68,78,78,95,52,67,81,79,39,99,56,91,55,73,76,47,63,86,66,97,97,68,76,39,36,73,71,78,78,80,63,51,69,82,73,98,57,66,57,63,90,6,5
female,group C,some high school,standard,completed,85,92,93,35,72,50,41,35,91,85,68,52,60,86,62,71,89,73,91,80,88,36,98,75,74,49,86,51,38,50,90,82,70,56,58,56,77,91,52,49,72,68,78,41,63,54,100,74,57,73,47,39,6,6
female,group E,high school,standard,completed,59,63,75,81,63,78,99,39,92,71,84,71,37,86,71,83,89,82,51,46,76,48,41,37,46,94,75,48,92,92,50,52,92,88,46,75,49,36,81,88,83,51,48,84,72,67,51,75,45,47,87,49,6,7
female,group C,some high school,free/reduced,none,65,86,80,79,49,87,56,75,94,39,43,55,52,48,45,44,40,84,97,52,80,66,69,62,47,38,79,66,95,93,48,68,80,35,52,60,58,97,66,86,42,56,71,41,82,35,37,45,89,65,45,93,6,8
male,group B,bachelor's degree,free/reduced,none,73,56,57,68,73,95,38,88,81,90,60,55,47,83,68,72,81,64,42,55,53,41,80,69,54,92,96,50,94,57,40,87,97,90,61,92,62,72,44,60,37,95,83,68,43,94,95,78,43,71,60,95,6,9
male,group D,high school,standard,none,53,52,42,41,45,47,53,79,87,39,45,66,66,98,86,47,80,97,42,52,58,76,89,96,49,67,86,70,82,59,99,70,43,75,37,75,50,76,60,80,98,57,40,69,64,68,45,96,46,47,54,86,6,0
male,group D,high school,standard,none,45,48,46,35,77,63,46,42,81,91,89,62,88,76,51,66,88,52,82,100,76,72,59,73,53,86,74,48,72,49,68,82,84,100,94,74,76,77,54,45,50,45,74,41,58,47,41,42,81,72,95,37,6,1
female,group D,bachelor's degree,free/reduced,none,73,79,84,86,40,77,64,48,96,86,78,67,45,81,62,66,98,100,58,87,93,63,82,71,84,96,56,95,100,98,63,92,70,87,56,78,66,40,77,78,81,46,46,96,44,100,90,83,80,87,54,39,7,2
female,group D,some college,free/reduced,completed,70,78,78,46,45,41,69,61,66,67,73,61,66,79,73,36,63,66,59,62,36,50,53,97,97,49,74,51,50,78,43,87,84,86,57,95,87,98,74,57,93,87,35,67,60,95,72,50,82,96,85,54,6,3
female,group B,some high school,standard,none,37,46,46,83,48,70,48,42,61,94,70,50,91,44,72,91,52,91,69,49,46,64,83,63,60,67,41,63,42,74,51,35,52,83,46,54,98,61,50,90,53,71,63,71,80,46,43,72,59,43,80,44,6,4
male,group B,associate's degree,standard,completed,81,82,82,70,70,50,75,92,68,69,56,48,56,56,61,72,61,38,67,61,58,56,39,85,74,80,36,94,39,56,36,38,70,59,59,82,49,41,65,92,96,100,46,66,63,96,60,45,67,92,78,42,6,5
male,group E,associate's degree,standard,completed,97,82,88,43,54,50,59,81,38,51,43,65,91,80,51,61,72,41,82,59,36,53,80,65,52,69,41,65,38,81,37,88,36,37,95,38,53,37,69,62,55,84,51,97,91,86,46,63,88,53,83,35,6,6
female,group B,some high school,standard,none,67,89,82,53,80,68,67,94,66,41,75,39,44,74,60,53,44,43,35,38,75,87,38,73,85,87,50,91,90,70,77,63,77,42,92,57,56,57,40,100,38,39,98,51,58,63,54,36,36,93,59,93,6,7
male,group B,bachelor's degree,free/reduced,none,88,75,76,72,38,68,60,95,55,76,93,59,80,83,70,51,67,86,66,88,49,64,41,96,63,37,57,99,84,77,65,88,74,94,89,98,65,49,42,54,92,60,48,71,46,97,46,37,57,92,76,98,7,8
male,group E,some high school,standard,completed,77,76,77,40,100,54,66,94,63,62,40,48,70,94,100,81,36,47,71,35,74,54,50,45,79,86,57,52,48,92,81,48,71,55,58,89,63,62,78,36,43,44,59,89,74,64,86,39,93,47,36,83,6,9
male,group C,associate's degree,standard,none,76,70,68,78,91,54,86,75,38,100,54,91,88,89,55,71,40,86,70,39,48,61,91,98,64,93,69,45,100,94,76,75,40,54,64,57,82,81,44,88,58,88,100,78,79,85,39,95,88,75,46,84,7,0
male,group D,some high school,standard,none,86,73,70,69,39,73,89,91,83,60,49,44,96,38,71,50,86,56,45,82,47,53,57,47,72,45,68,54,64,51,38,73,51,80,46,73,88,65,54,96,37,52,98,45,89,60,91,56,38,47,94,80,6,1
male,group C,some high school,standard,completed,63,60,57,97,53,91,63,93,47,85,52,56,51,94,50,57,77,83,72,90,71,35,82,63,100,54,84,60,66,63,58,53,46,74,75,94,71,100,91,56,57,60,39,53,79,96,99,97,97,49,100,89,7,2
female,group E,bachelor's degree,standard,none,65,73,75,54,75,92,73,76,94,70,68,98,82,98,54,46,70,51,91,83,43,41,65,45,75,96,50,57,65,64,38,78,100,100,54,64,76,97,81,72,52,44,62,52,88,77,72,93,90,46,75,67,7,3
male,group D,high school,free/reduced,completed,78,77,80,36,95,91,98,37,91,44,87,43,64,73,80,65,91,39,60,59,80,90,100,52,86,37,64,74,89,89,69,65,65,71,43,45,51,41,97,67,48,67,62,72,91,50,90,83,80,41,82,82,6,4
male,group B,associate's degree,free/reduced,none,67,62,60,95,87,90,92,57,45,66,39,55,35,67,53,77,44,71,44,62,70,68,96,61,54,88,86,84,75,95,55,80,61,47,81,85,87,60,87,54,43,36,85,88,76,95,97,46,67,37,65,73,6,5
male,group A,some high school,standard,completed,46,41,43,97,75,48,95,47,62,77,98,66,46,66,72,57,85,70,96,47,90,41,67,59,79,46,94,64,41,39,97,88,75,90,46,41,39,97,95,97,87,62,83,50,39,45,77,35,43,46,35,53,6,6
male,group E,associate's degree,standard,completed,71,74,68,54,62,64,68,71,54,39,55,70,90,41,36,55,43,42,82,57,98,90,79,83,42,52,95,68,100,35,79,71,41,100,38,43,63,41,94,70,50,45,86,73,44,87,91,54,79,69,98,87,6,7
male,group C,high school,free/reduced,completed,40,46,50,96,53,74,86,98,51,41,48,74,97,59,79,56,59,38,41,41,81,56,44,41,37,46,67,87,74,97,80,64,73,81,76,92,86,57,93,41,65,100,97,89,64,53,63,64,38,48,61,40,6,8
male,group D,associate's degree,free/reduced,none,90,87,75,81,82,49,73,39,72,82,100,76,65,94,96,100,87,64,66,94,63,83,97,67,89,35,41,36,64,96,83,80,65,55,52,40,52,46,90,97,77,51,98,72,54,46,99,50,45,77,62,43,7,9
male,group A,some college,free/reduced,completed,81,78,81,88,87,74,58,69,79,64,38,47,61,37,42,68,84,95,62,95,57,88,85,100,90,99,88,58,44,96,99,42,50,42,97,72,41,78,50,75,91,50,59,92,98,64,66,71,72,89,51,51,7,0
male,group D,some high school,free/reduced,none,56,54,52,64,47,47,64,76,79,88,100,91,95,96,60,90,72,70,60,85,79,68,97,68,97,85,67,82,60,92,38,36,81,49,97,41,83,38,44,70,86,69,44,67,100,51,49,91,57,84,83,66,7,1
female,group C,associate's degree,standard,completed,67,84,81,63,66,36,88,94,58,35,97,44,45,79,35,87,75,75,99,74,70,90,92,59,71,46,53,93,67,94,55,83,97,63,93,47,37,97,45,57,100,90,61,96,74,65,56,57,92,77,83,43,7,2
male,group B,associate's degree,standard,none,80,76,64,95,63,75,50,38,97,54,81,87,97,68,86,88,69,57,94,98,78,100,86,95,62,46,73,64,35,50,44,81,88,65,92,51,86,81,49,52,70,89,54,89,52,55,54,95,39,43,52,73,7,3
female,group C,associate's degree,standard,completed,74,75,83,97,97,55,48,74,52,58,54,68,62,78,76,40,53,97,54,78,63,68,38,41,69,64,98,71,98,61,93,65,99,39,82,87,60,45,61,85,47,36,86,67,88,64,78,77,74,35,89,84,6,4
male,group A,some college,standard,none,69,67,69,75,44,37,43,82,49,51,47,93,39,90,84,48,81,79,40,74,55,49,52,42,50,79,83,81,61,64,64,64,70,71,84,57,100,99,84,92,76,91,83,80,54,63,69,89,66,73,95,47,6,5
male,group E,some college,standard,completed,99,87,81,71,39,80,59,44,60,67,76,98,92,79,61,65,100,48,60,59,51,50,69,58,45,97,100,58,62,60,91,95,60,59,100,70,42,90,43,55,44,68,39,45,46,43,36,67,45,39,47,83,6,6
male,group C,some high school,standard,none,51,52,44,94,49,45,42,92,83,53,71,79,49,100,48,74,75,38,52,88,95,64,44,54,84,38,42,49,69,37,79,59,58,40,39,43,49,83,97,37,53,88,41,58,58,35,83,48,87,63,66,89,6,7
female,group B,associate's degree,free/reduced,none,53,71,67,43,73,84,90,35,55,66,45,72,52,46,53,70,79,37,58,62,46,74,37,76,97,93,61,39,45,58,50,68,78,81,55,90,78,88,84,36,47,98,72,68,84,60,64,75,53,67,71,36,6,8
female,group D,high school,free/reduced,none,49,57,52,65,35,48,51,56,77,56,84,51,74,99,70,51,82,46,69,100,53,37,92,98,57,37,65,96,71,64,85,54,89,83,66,71,71,82,95,61,41,44,70,60,92,60,49,87,58,40,36,63,6,9
female,group B,associate's degree,standard,none,73,76,80,99,54,63,71,73,48,77,72,68,68,59,50,39,60,61,51,40,51,80,47,62,83,64,87,85,84,90,85,80,46,84,62,99,63,87,55,37,67,85,71,35,99,97,75,48,66,79,83,91,6,0
male,group B,bachelor's degree,standard,none,66,60,57,63,85,89,95,37,60,88,37,60,65,71,70,37,53,65,46,80,57,49,77,99,48,50,66,40,87,58,43,99,76,59,96,74,85,52,46,72,71,94,77,76,99,61,83,63,75,44,45,66,6,1
male,group D,bachelor's degree,standard,completed,67,61,68,73,49,43,82,85,97,57,78,68,68,37,36,43,68,47,52,92,76,62,78,36,55,94,62,89,68,59,98,60,50,58,94,62,68,73,87,63,55,71,47,94,58,88,88,36,44,36,54,69,6,2
female,group C,associate's degree,free/reduced,completed,68,67,69,77,71,76,49,41,88,76,54,81,82,94,64,48,87,76,58,45,94,63,48,39,64,73,61,49,84,40,84,44,40,45,93,59,61,91,63,53,60,35,91,51,71,95,61,100,65,94,100,59,6,3
female,group C,bachelor's degree,standard,completed,59,64,75,67,48,50,83,37,89,44,67,73,45,71,61,80,90,82,41,54,93,84,89,46,95,100,80,80,100,45,57,60,52,73,67,93,62,90,90,37,36,82,69,75,91,70,70,43,78,60,42,66,6,4
male,group C,high school,standard,none,71,66,65,74,81,78,75,83,79,96,53,78,63,78,73,55,37,95,80,48,57,43,44,52,55,99,61,56,45,50,82,98,78,62,70,77,60,70,63,93,87,82,48,65,39,48,42,75,77,71,97,99,6,5
female,group D,master's degree,standard,completed,77,82,91,91,35,96,41,42,42,51,39,62,100,39,86,35,59,73,92,87,74,55,93,48,57,84,91,63,64,84,70,47,87,54,60,56,65,40,96,62,98,88,53,43,64,52,56,63,89,68,67,75,6,6
male,group C,associate's degree,standard,none,83,72,78,93,51,95,55,81,51,70,68,63,53,94,60,74,85,43,58,57,73,83,69,99,69,91,49,97,70,63,68,56,75,94,43,86,42,56,80,53,42,43,52,97,85,73,52,89,76,37,94,56,6,7
male,group B,bachelor's degree,standard,none,63,71,69,66,40,45,94,51,87,97,69,39,49,78,78,58,91,60,75,83,92,61,48,91,90,82,88,96,80,46,38,81,71,65,72,80,91,47,43,55,74,47,60,37,85,70,93,67,72,79,93,36,6,8
female,group D,associate's degree,free/reduced,none,56,65,63,56,35,63,47,40,73,91,68,61,79,66,48,72,44,65,86,92,96,78,51,81,64,40,84,76,75,40,39,50,38,67,69,88,47,73,62,51,65,54,71,79,67,71,61,81,57,36,50,71,6,9
female,group C,high school,free/reduced,completed,67,79,84,98,48,79,53,84,90,93,39,59,42,77,56,94,48,77,90,57,54,89,35,97,76,52,72,59,36,77,73,80,100,73,71,62,74,54,39,63,73,62,74,75,41,56,70,55,97,83,64,81,6,0
female,group E,high school,standard,none,75,86,79,56,78,89,64,37,50,68,76,93,92,39,61,66,46,70,80,68,37,97,40,95,78,48,88,88,58,51,42,59,77,35,86,71,36,44,60,39,56,88,94,47,69,76,64,53,49,83,66,69,6,1
female,group C,some college,standard,none,71,81,80,81,75,85,38,54,36,37,100,85,43,86,47,36,66,76,37,92,93,98,48,80,69,66,53,55,54,57,49,48,82,93,74,41,65,49,51,71,96,74,40,59,65,74,55,65,78,59,67,66,6,2
female,group C,some high school,free/reduced,none,43,53,53,56,72,88,58,79,70,99,56,79,81,48,83,83,36,57,43,54,40,60,64,63,89,60,36,75,78,62,85,65,92,70,36,69,81,81,42,50,88,51,53,82,87,36,47,88,67,92,41,54,6,3
female,group C,high school,free/reduced,none,41,46,43,44,48,51,99,47,91,38,87,98,99,46,70,80,49,87,63,41,35,87,43,38,70,60,65,47,48,50,72,44,94,56,84,36,41,85,35,93,46,69,83,71,67,79,51,93,48,94,74,80,6,4
